YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2024,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"61,883"
2024,1,AR,"Combined Heat and Power, Commercial Power",Total,"3,988"
2024,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"3,448"
2024,1,AR,"Combined Heat and Power, Commercial Power",Other,-45
2024,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,585
2024,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,0
2024,1,AR,"Combined Heat and Power, Electric Power",Total,"94,392"
2024,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"94,392"
2024,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,AR,"Electric Generators, Independent Power Producers",Total,"401,314"
2024,1,AR,"Electric Generators, Independent Power Producers",Coal,"339,836"
2024,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"4,887"
2024,1,AR,"Electric Generators, Independent Power Producers",Petroleum,"1,424"
2024,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"51,399"
2024,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"3,768"
2024,1,AR,"Electric Generators, Electric Utilities",Total,"5,463,794"
2024,1,AR,"Electric Generators, Electric Utilities",Coal,"1,869,863"
2024,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,"19,115"
2024,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"425,180"
2024,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"1,745,044"
2024,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,389,059"
2024,1,AR,"Electric Generators, Electric Utilities",Other,0
2024,1,AR,"Electric Generators, Electric Utilities",Petroleum,"4,547"
2024,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"10,988"
2024,1,AZ,Total Electric Power Industry,Total,"9,087,960"
2024,1,AZ,Total Electric Power Industry,Coal,"1,364,737"
2024,1,AZ,Total Electric Power Industry,Pumped Storage,"-1,140"
2024,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"459,066"
2024,1,AZ,Total Electric Power Industry,Natural Gas,"3,660,547"
2024,1,AZ,Total Electric Power Industry,Nuclear,"2,987,772"
2024,1,AZ,Total Electric Power Industry,Other,"-6,074"
2024,1,AZ,Total Electric Power Industry,Petroleum,"1,701"
2024,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"477,171"
2024,1,AZ,Total Electric Power Industry,Other Biomass,"1,575"
2024,1,AZ,Total Electric Power Industry,Wind,"126,426"
2024,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"16,179"
2024,1,AZ,"Combined Heat and Power, Industrial Power",Total,"1,283"
2024,1,AZ,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,"1,283"
2024,1,AZ,"Combined Heat and Power, Commercial Power",Total,"11,987"
2024,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"10,759"
2024,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,2
2024,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,"1,226"
2024,1,AZ,"Combined Heat and Power, Electric Power",Total,0
2024,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,0
2024,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2024,1,AZ,"Electric Generators, Independent Power Producers",Total,"1,610,625"
2024,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"1,031,241"
2024,1,AZ,"Electric Generators, Independent Power Producers",Other,"-5,655"
2024,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"440,859"
2024,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"1,575"
2024,1,AZ,"Electric Generators, Independent Power Producers",Wind,"126,426"
2024,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"16,179"
2024,1,AZ,"Electric Generators, Electric Utilities",Total,"7,464,065"
2024,1,AZ,"Electric Generators, Electric Utilities",Coal,"1,364,737"
2024,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"-1,140"
2024,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"459,066"
2024,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"2,618,547"
2024,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,987,772"
2024,1,AZ,"Electric Generators, Electric Utilities",Other,-419
2024,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"1,700"
2024,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"33,803"
2024,1,CA,Total Electric Power Industry,Total,"17,710,462"
2024,1,CA,Total Electric Power Industry,Coal,"21,761"
2024,1,CA,Total Electric Power Industry,Geothermal,"897,296"
2024,1,CA,Total Electric Power Industry,Pumped Storage,"-40,343"
